County,No_Bridges,,,
Baker,295,,,
Benton,209,,,
Clackamas,482,,,
Clatsop,221,,,
Columbia,163,,,
Coos,292,,,
Crook,88,,,
Curry,104,,,
Deschutes,189,,,
Douglas,609,,,
Gilliam,74,,,
Grant,164,,,
Harney,134,,,
Hood River,123,,,
Jackson,480,,,
Jefferson,75,,,
Josephine,222,,,
Klamath,293,,,
Lake,105,,,
Lane,1009,,,
Lincoln,260,,,
Linn,594,,,
Malheur,277,,,
Marion,520,,,
Morrow,112,,,
Multnomah,948,,,
Polk,189,,,
Sherman,101,,,
Tillamook,278,,,
Umatilla,447,,,
Union,220,,,
Wallowa,133,,,
Wasco,179,,,
Washington,502,,,
Wheeler,63,,,
Yamhill,189,,,
