County,No_Bridges,,
BAKER,295,,1009
BENTON,209,,214.5
CLACKAMAS,482,,63
CLATSOP,221,,287.3055556
COLUMBIA,163,,
COOS,292,,
CROOK,88,,
CURRY,104,,
DESCHUTES,189,,
DOUGLAS,609,,
GILLIAM,74,,
GRANT,164,,
HARNEY,134,,
HOOD RIVER,123,,
JACKSON,480,,
JEFFERSON,75,,
JOSEPHINE,222,,
KLAMATH,293,,
LAKE,105,,
LANE,1009,,
LINCOLN,260,,
LINN,594,,
MALHEUR,277,,
MARION,520,,
MORROW,112,,
MULTNOMAH,948,,
POLK,189,,
SHERMAN,101,,
TILLAMOOK,278,,
UMATILLA,447,,
UNION,220,,
WALLOWA,133,,
WASCO,179,,
WASHINGTON,502,,
WHEELER,63,,
YAMHILL,189,,
