"","CNTY_NAME","count","avg_suf_rating"
"1","BAKER",295,62.0050847457627
"2","BENTON",209,67.2047846889952
"3","CLACKAMAS",482,50.122869022869
"4","CLATSOP",221,60.5559090909091
"5","COLUMBIA",163,65.7650306748466
"6","COOS",292,63.9352739726027
"7","CROOK",88,66.9806818181818
"8","CURRY",104,52.7865384615385
"9","DESCHUTES",189,69.6231182795699
"10","DOUGLAS",609,64.7630541871921
"11","GILLIAM",74,57.0918918918919
"12","GRANT",164,69.8963414634146
"13","HARNEY",134,81.7798507462687
"14","HOOD RIVER",123,54.5024390243902
"15","JACKSON",480,60.4247916666667
"16","JEFFERSON",75,60.796
"17","JOSEPHINE",222,66.5108108108108
"18","KLAMATH",293,69.1778156996587
"19","LAKE",105,76.0314285714286
"20","LANE",1009,66.6060515873016
"21","LINCOLN",260,59.7207692307692
"22","LINN",594,65.9739057239057
"23","MALHEUR",277,69.8415162454874
"24","MARION",520,53.5346153846154
"25","MORROW",112,76.0089285714286
"26","MULTNOMAH",948,35.1582278481013
"27","POLK",189,69.6984126984127
"28","SHERMAN",101,54.9594059405941
"29","TILLAMOOK",278,61.4679856115108
"30","UMATILLA",447,65.9489932885906
"31","UNION",220,66.4245454545455
"32","WALLOWA",133,72.4165413533835
"33","WASCO",179,59.9301675977654
"34","WASHINGTON",502,54.0256972111554
"35","WHEELER",63,69.3619047619048
"36","YAMHILL",189,61.9365079365079
